name	length	type	location(gene before, gene after)	SGDfeatures	significance
chr15_575131_575170	39	Coding	YOR133W		
chr5_61698_61789	91	Intergenic	YEL050C_847,YEL049W_1938		
chr4_1052560_1052584	24	Intergenic	YDR294C_341,YDR295C_29		
chr15_506571_506588	17	Coding	YOR096W		
chr15_974044_974055	11	Intergenic	YOR342C_6426,YOR344C_3131	YORWTY2-2,YOR343W-B,	
chr9_145858_145870	12	Coding	YIL115C		
chr10_455235_455250	15	Intergenic	YJR009C_861,YJR010W_681	ARS1016,ARS1016,	
chr14_266792_266805	13	Intergenic	YNL199C_265,YNL197C_799	YNL198C,	
chr3_178928_178939	11	Intergenic	YCR031C_716,YCR032W_572		
chr13_499853_499875	22	Coding	YMR116C		
chr15_577721_577755	34	Intergenic	YOR133W_95,YOR134W_808		
chr7_752804_752819	15	Intergenic	YGR129W_1755,YGR130C_-1424		
chr3_192718_192745	27	Coding	YCR035C		
chr7_117637_117651	14	Intergenic	YGL202W_74,YGL201C_204		
chr14_533944_533975	31	Intergenic	YNL051W_78,YNL050C_99		
chr7_571339_571364	25	Intergenic	YGR038W_9988,YGR040W_4034	YGRCTY2-1,	
chr10_560136_560169	33	Coding	YJR066W		
chr7_707108_707180	72	Intergenic	YGR109C_606,YGR110W_6529		
chr7_962911_962924	13	Intergenic	YGR236C_92,YGR237C_376		
chr5_198165_198198	33	Coding	YER021W		
chr13_626180_626230	50	Intergenic	YMR182W-A_284,YMR183C_689		
chr12_932431_932450	19	Intergenic	YLR406C-A_79,YLR407W_513		
chr9_142093_142105	12	Intergenic	YIL117C_527,YIL116W_819		
chr11_581637_581655	18	Intergenic	YKR075C_1251,YKR076W_263		
chr14_547089_547192	103	Intergenic	YNL044W_1216,YNL042W-B_-84		
chr2_704208_704219	11	Intergenic	YBR241C_198,YBR242W_405		
chr12_374350_374428	78	Intergenic	YLR113W_1422,YLR114C_516	TR(ACG)L,	
chr7_949250_949287	37	Intergenic	YGR227W_254,YGR229C_93		
chr12_704906_704934	28	Intergenic	YLR278C_882,YLR281C_-442		
chr4_1402906_1403030	124	Intergenic	YDR471W_354,YDR472W_279		
chr4_1273874_1273887	13	Intergenic	YDR402C_183,YDR403W_702		
chr2_607184_607213	29	Intergenic	YBR191W_89,YBR192W_393		
chr2_176595_176615	20	Coding	YBL023C		
chr6_157909_158001	92	Intergenic	YFR006W_163,YFR007W_1291		
chr2_136429_136444	15	Intergenic	YBL044W_101,YBL043W_205		
chr12_460916_467570	6654	Intergenic	YLR154C-G_-1756,YLR154C-H_1257	RDN25-2,RDN58-2,RDN18-2,	
chr13_562832_562852	20	Intergenic	YMR150C_305,YMR152W_242	YMR151W,	
chr10_390738_390811	73	Intergenic	YJL029C_189,YJL027C_717		
chr4_1017197_1017269	72	Intergenic	YDR277C_1504,YDR279W_2089	YDR278C,	
chr14_564535_564582	47	Intergenic	YNL036W_4060,YNL035C_3935	YNLCTY2-1,	
chr5_449709_449721	12	Intergenic	YER138W-A_135,YER139C_836		
chr9_300226_300298	72	Intergenic	YIL030C_218,YIL029C_528		
chr3_94042_94065	23	Coding	YCL017C		
chr10_649001_649026	25	Intergenic	YJR121W_164,YJR122W_444		
chr8_496214_496229	15	Intergenic	YHR197W_31,YHR198C_81		
chr6_226675_226747	72	Intergenic	YFR035C_222,YFR036W_202		
chr4_884352_884485	133	Intergenic	YDR210W_13059,YDR211W_233		
chr8_157259_157275	16	Coding	YHR023W		
chr7_307182_307220	38	Intergenic	YGL106W_172,YGL105W_217		
chr8_89763_89782	19	Intergenic	YHL009C_4708,YHL008C_2839	YHLWTY4-1,YHL009W-B;Note=TyB Gag-Pol protein; proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition,YHL009W-B,	
chr7_571248_571295	47	Intergenic	YGR038W_9897,YGR040W_4103	YGRCTY2-1,	
chr13_561877_561907	30	Intergenic	YMR149W_22,YMR150C_47		
chr10_637594_637619	25	Intergenic	YJR112W_264,YJR112W-A_-135		
chr5_431124_431216	92	Intergenic	YER132C_679,YER133W_1274		
chr4_207358_207375	17	Coding	YDL140C		
chr4_1157056_1157073	17	Intergenic	YDR342C_1139,YDR343C_2523		
chr9_336345_336417	72	Intergenic	YIL009C-A_136,YIL009W_2923		
chr13_434448_434462	14	Intergenic	YMR081C_3354,YMR083W_324		
chr7_802973_802994	21	Coding	YGR157W		
chr13_297723_297832	109	Intergenic	YMR013C_986,YMR013W-A_477		
chr4_1393209_1393225	16	Intergenic	YDR464W_42,YDR465C_98		
chr13_298488_298512	24	Intergenic	YMR013W-A_98,YMR014W_354		
chr12_498997_499041	44	Coding	YLR167W		
chr7_534967_534983	16	Intergenic	YGR027C_508,YGR028W_7220		
chr7_700953_701049	96	Intergenic	YGR106C_1166,YGR108W_2587		
chr16_821725_821897	172	Intergenic	YPR144C_308,YPR145W_716		
chr10_414659_414732	73	Intergenic	YJL011C_195,YJL010C_2523		
chr12_834458_834477	19	Coding	YLR353W		
chr7_812721_812750	29	Intergenic	YGR161C_3299,YGR162W_11310	YGRWTY2-2,YGR161W-B;Note=TyB Gag-Pol protein; proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition,YGR161W-B,YGR161W-A,	
chr4_434259_434332	73	Intergenic	YDL008W_269,YDL007W_3710		
chr2_673487_673501	14	Intergenic	YBR225W_203,YBR227C_25	YBR226C,	
chr12_92546_92649	103	Intergenic	YLL026W_1198,YLL025W_2096		
chr7_115489_115585	96	Intergenic	YGL203C_823,YGL202W_475		
chr8_476150_476175	25	Coding	YHR186C		
chr4_1301322_1301342	20	Intergenic	YDR416W_323,YDR418W_261		
chr2_642961_643033	72	Intergenic	YBR208C_796,YBR210W_2471		
chr2_607152_607216	64	Intergenic	YBR191W_57,YBR192W_390	YBR191W-A,YBR191W-A,	
chr4_1075462_1075535	73	Intergenic	YDR306C_300,YDR307W_320		
chr7_1014286_1014306	20	Intergenic	YGR260W_193,YGR261C_18		
chr10_539557_539587	30	Intergenic	YJR055W_597,YJR056C_1898		
chr15_797140_797197	57	Intergenic	YOR246C_347,YOR247W_478		
chr4_1150830_1150930	100	Intergenic	YDR339C_321,YDR341C_861	YDR340W,	
chr12_810206_810219	13	Coding	YLR342W		
chr12_529849_529866	17	Coding	YLR188W		
chr2_632002_632015	13	Intergenic	YBR203W_105,YBR204C_193		
chr2_301081_301098	17	Coding	YBR031W		
chr12_755799_755813	14	Coding	YLR310C		
chr10_168984_168997	13	Coding	YJL130C		
chr1_182515_182597	82	Intergenic	YAR023C_2697,YAR027W_1166		
chr15_725382_725410	28	Intergenic	YOR204W_657,YOR205C_153		
chr2_767381_767404	23	Intergenic	YBR280C_2730,YBR281C_-2481		
chr7_365163_365252	89	Intron	YGL076C		
chr10_355151_355223	72	Intergenic	YJL046W_1840,YJL045W_496		
chr12_181493_181515	22	Intergenic	YLR019W_13,YLR020C_272		
chr5_86603_86685	82	Intergenic	YEL034W_454,YEL032W_251		
chr7_823483_823557	74	Intergenic	YGR161C_14061,YGR162W_503		
chr7_727080_727092	12	Intron	YGR118W		
chr2_404248_404288	40	Coding	YBR081C		
chr15_663811_663885	74	Intergenic	YOR176W_229,YOR177C_1899		
chr15_464450_464552	102	Intergenic	YOR071C_3173,YOR072W-B_-83		
chr4_992822_992893	71	Intergenic	YDR261C_13622,YDR262W_231		
chr14_585582_585922	340	Intergenic	YNL025C_295,YNL024C-A_675		
chr7_310387_310398	11	Intergenic	YGL104C_213,YGL103W_569		
chr15_487439_487513	74	Intergenic	YOR086C_659,YOR087W_194		
chr2_352065_352086	21	Intergenic	YBR056W-A_651,YBR057C_65		
chr13_808245_808317	72	Intergenic	YMR271C_697,YMR272C_1305		
chr4_353951_353974	23	Coding	YDL056W		
chr14_167101_167126	25	Intergenic	YNL256W_5,YNL255C_201		
chr7_205524_205638	114	Intergenic	YGL159W_1687,YGL158W_1397		
chr2_38851_38879	28	Intergenic	YBL099W_169,YBL098W_257		
chr1_166266_166339	73	Intergenic	YAR008W_6473,YAR014C_418		
chr9_35646_35663	17	Intergenic	YIL164C_960,YIL162W_1721		
chr10_455767_455795	28	Intergenic	YJR009C_1393,YJR010W_136		
chr9_251630_251648	18	Coding	YIL056W		
chr16_823384_823398	14	Coding	YPR145W		
chr16_591984_591999	15	Intergenic	YPR015C_963,YPR016C_327		
chr15_147229_147263	34	Intergenic	YOL091W_67,YOL090W_117		
chr16_700651_700689	38	Coding	YPR080W		
chr6_56859_56876	17	Coding	YFL037W		
chr11_42321_42335	14	Intergenic	YKL210W_83,YKL209C_88		
chr4_1371481_1371505	24	Coding	YDR457W		
chr12_734801_734875	74	Intergenic	YLR303W_925,YLR304C_336		
chr12_1029958_1030003	45	Intergenic	YLR448W_196,YLR449W_824		
chr14_564198_564214	16	Intergenic	YNL036W_3723,YNL035C_4303	YNLCTY2-1,	
chr13_754863_754900	37	Coding	YMR243C		
chr15_180393_180411	18	Intergenic	YOL081W_85,YOL080C_145		
chr13_361538_361551	13	Intergenic	YMR044W_4728,YMR047C_1811	YMRCTY1-3,YMR045C,YMR046C,	
chr7_594888_594910	22	Intergenic	YGR052W_182,YGR053C_76		
chr16_405001_405022	21	Intron	YPL081W		
chr2_477687_477725	38	Coding	YBR118W		
chr10_524496_524518	22	Intergenic	YJR046W_940,YJR047C_83		
chr3_295476_295549	73	Intergenic	YCR097W_1162,YCR098C_1492		
chr12_282588_282617	29	Intergenic	YLR074C_131,YLR075W_310		
chr16_744279_744351	72	Intergenic	YPR108W_540,YPR108W-A_-181		
chr12_818608_818680	72	Intergenic	YLR343W_847,YLR344W_631		
chr14_266053_266072	19	Coding	YNL199C		
chr15_444730_444745	15	Coding	YOR063W		
chr4_682662_682675	13	Intergenic	YDR115W_177,YDR116C_41		
chr9_214725_214763	38	Intergenic	YIL078W_25,YIL077C_224	ARS901,	
chr12_348427_348511	84	Intergenic	YLR105C_246,YLR106C_495		
chr10_455492_455507	15	Intergenic	YJR009C_1118,YJR010W_424		
chr5_256277_256311	34	Intergenic	YER051W_144,YER052C_62		
chr14_400666_400788	122	Intergenic	YNL121C_132,YNL119W_248		
chr9_144217_144232	15	Intergenic	YIL116W_135,YIL115C_91		
chr11_458194_458308	114	Intergenic	YKR009C_1502,YKR010C_253		
chr10_523705_523787	82	Intergenic	YJR046W_149,YJR047C_814		
chr12_603649_603663	14	Intergenic	YLR228C_1186,YLR229C_548		
chr4_1154505_1154528	23	Coding	YDR342C		
chr2_347561_347645	84	Intergenic	YBR055C_301,YBR056W_192		
chr15_174372_174383	11	Coding	YOL081W		
chr9_370413_370485	72	Intergenic	YIR006C_508,YIR007W_215		
chr14_494642_494663	21	Intron	YNL069C		
chr9_39175_39186	11	Intergenic	YIL162W_192,YIL161W_246		
chr12_445320_445341	21	Intergenic	YLR152C_631,YLR153C_183		
chr9_98450_98470	20	Intergenic	YIL134W_120,YIL133C_56		
chr16_684354_684382	28	Intergenic	YPR068C_6,YPR069C_168		
chr9_69256_69282	26	Coding	YIL148W		
chr15_94128_94152	24	Intron	YOL120C		
chr4_332355_332396	41	Coding	YDL070W		
chr12_687492_687513	21	Intergenic	YLR272C_290,YLR273C_1569		
chr11_512968_513040	72	Intergenic	YKR038C_172,YKR039W_1659		
chr12_333865_333886	21	Coding	YLR096W		
chr6_100826_100841	15	Intergenic	YFL020C_1233,YFL018C_780	YFLWDELTA1,	
chr7_711628_711648	20	Intergenic	YGR109C_5126,YGR110W_2061	YGRWTY3-1,YGR109W-B,	
chr15_928447_928475	28	Coding	YOR326W		
chr11_340678_340705	27	Intergenic	YKL052C_491,YKL051W_247		
chr11_432114_432131	17	Coding	YKL006W		
chr5_100132_100204	72	Intergenic	YEL029C_2336,YEL027W_564		
chr7_709961_709981	20	Intergenic	YGR109C_3459,YGR110W_3728	YGRWTY3-1,YGR109W-B,	
chr16_810669_810743	74	Intergenic	YPR137W_6595,YPR138C_234		
chr10_464011_464052	41	Intergenic	YJR015W_64,YJR016C_92		
chr14_567163_567201	38	Intergenic	YNL036W_6688,YNL035C_1316	YNLCTY2-1,	
chr11_100492_100554	62	Intergenic	YKL183W_850,YKL182W_117		
chr4_642197_642216	19	Coding	YDR097C		
chr12_734957_734968	11	Intergenic	YLR303W_1081,YLR304C_243		
chr9_370499_370521	22	Intergenic	YIR006C_594,YIR007W_179		
chr14_230103_230771	668	Intergenic	YNL222W_390,YNL221C_295		
chr8_237848_237940	92	Intergenic	YHR071W_154,YHR072W_1158		
chr16_172896_172920	24	Intergenic	YPL199C_142,YPL198W_230		
chr10_205710_205740	30	Coding	YJL112W		
chr7_345986_346231	245	Intergenic	YGL089C_832,YGL087C_175	YGL088W,YGL088W,	
chr7_921631_921667	36	Coding	YGR214W		
chr2_36389_36480	91	Intergenic	YBL101W-C_7848,YBL099W_564		
chr10_455554_455577	23	Intergenic	YJR009C_1180,YJR010W_354		
chr13_504893_505007	114	Intergenic	YMR118C_2160,YMR119W_324		
chr7_674542_674562	20	Coding	YGR094W		
chr13_895575_895591	16	Intergenic	YMR309C_149,YMR310C_124		
chr12_342024_342045	21	Coding	YLR100W		
chr15_832640_832659	19	Intergenic	YOR271C_601,YOR272W_150		
chr4_778823_778842	19	Intergenic	YDR160W_109,YDR161W_193		
chr4_258115_258133	18	Coding	YDL113C		
chr11_162487_162559	72	Intergenic	YKL154W_151,YKL152C_1083		
chr5_504202_504217	15	Intergenic	YER163C_425,YER164W_1169		
chr10_204431_204503	72	Intergenic	YJL115W_7606,YJL112W_498	ARS1008,	
chr10_531521_531592	71	Intergenic	YJR051W_461,YJR052W_163		
chr6_190775_190795	20	Coding	YFR019W		
chr10_142904_142917	13	Intergenic	YJL147C_639,YJL146W_72		
chr13_363062_363134	72	Intergenic	YMR044W_6252,YMR047C_228		
chr11_326274_326293	19	Coding	YKL060C		
chr6_75804_75850	46	Coding	YFL031W		
chr15_127925_127937	12	Intergenic	YOL101C_6,YOL100W_1298		
chr8_493667_493683	16	Intergenic	YHR196W_13,YHR197W_208		
chr2_556164_556178	14	Intergenic	YBR157C_1900,YBR158W_324		
chr7_774350_774423	73	Intergenic	YGR142W_662,YGR143W_771		
chr13_463552_463624	72	Intergenic	YMR098C_944,YMR099C_308		
chr15_897018_897047	29	Coding	YOR310C	YOR309C,	
chr13_124448_124465	17	Intergenic	YML073C_276,YML072C_264		
chr7_122270_122343	73	Intergenic	YGL201C_1361,YGL200C_353		
chr15_960498_960514	16	Intergenic	YOR340C_323,YOR341W_465		
chr10_465837_465866	29	Coding	YJR016C		
chr4_115525_115558	33	Coding	YDL193W		
chr14_361289_361305	16	Coding	YNL139C	YNL140C,	
chr4_983696_983710	14	Intergenic	YDR261C_4496,YDR262W_9414	YDRWTY2-3,YDR261W-B,	
chr4_1245601_1245618	17	Coding	YDR385W		
chr10_139263_139389	126	Intergenic	YJL149W_195,YJL148W_745		
chr4_196958_196970	12	Coding	YDL145C		
chr14_383952_383981	29	Intergenic	YNL128W_292,YNL127W_2		
chr16_860372_860443	71	Intergenic	YPR159C-A_-37,YPR160W_856		
chr2_491335_491355	20	Coding	YBR127C		
chr9_406355_406368	13	Coding	YIR027C		
chr16_405700_405714	14	Coding	YPL081W		
chr1_185347_185394	47	Intergenic	YAR027W_876,YAR028W_-509		
chr2_267712_267725	13	Coding	YBR015C		
chr4_65041_65066	25	Intergenic	YDL220C_22,YDL219W_176		
chr8_379081_379098	17	Coding	YHR139C		
chr4_974399_974412	13	Intergenic	YDR258C_165,YDR259C_209		
chr6_245512_245527	15	Intergenic	YFR047C_359,YFR048W_605		
chr13_671838_671854	16	Intergenic	YMR204C_514,YMR205C_31		
chr8_62751_62823	72	Intergenic	YHL023C_191,YHL022C_134		
chr7_465817_465841	24	Intergenic	YGL015C_379,YGL014W_302		
chr5_377954_378742	788	Intergenic	YER109C_344,YER110C_15		
chr12_919179_919197	18	Intergenic	YLR398C_161,YLR399C_337		
chr5_487325_487397	72	Intergenic	YER157W_137,YER158C_1454		
chr5_551279_551353	74	Intergenic	YER180C-A_162,YER182W_1166		
chr5_217851_217867	16	Intergenic	YER032W_159,YER033C_188		
chr16_412021_412034	13	Intergenic	YPL076W_741,YPL075W_214		
chr11_100266_100292	26	Intergenic	YKL183W_624,YKL182W_379		
chr12_393430_393449	19	Intergenic	YLR121C_3159,YLR125W_35		
chr10_386007_386019	12	Intergenic	YJL033W_162,YJL031C_44		
chr4_187949_187963	14	Intergenic	YDL149W_30,YDL148C_191		
chr12_472464_472582	118	Intergenic	YLR156W_6,YLR156C-A_-103		
chr7_708502_708529	27	Intergenic	YGR109C_2000,YGR110W_5180	YGRWTY3-1,YGR109W-B,	
chr5_337552_337563	11	Intergenic	YER089C_216,YER090W_381		
chr15_900204_900221	17	Intergenic	YOR311C_283,YOR312C_21		
chr5_362082_362097	15	Intergenic	YER101C_292,YER102W_998		
chr15_971552_971581	29	Intergenic	YOR342C_3934,YOR344C_5605	YORWTY2-2,YOR343W-B,YOR343W-A,	
chr7_148254_148285	31	Coding	YGL189C		
chr7_661749_661821	72	Intergenic	YGR089W_1978,YGR090W_537		
chr13_226759_226799	40	Intergenic	YML024W_62,YML023C_194		
chr7_531610_531682	72	Intergenic	YGR023W_690,YGR024C_201		
chr11_302558_302664	106	Intergenic	YKL072W_1035,YKL071W_2090		
chr10_322881_322898	17	Intergenic	YJL061W_1028,YJL060W_183		
chr7_544577_544649	72	Intergenic	YGR029W_371,YGR030C_1032		
chr8_381540_381728	188	Intergenic	YHR140W_248,YHR141C_262		
chr7_288657_288676	19	Intergenic	YGL119W_2706,YGL117W_-161		
chr12_366698_366736	38	Intergenic	YLR107W_1367,YLR108C_-69		
chr4_275038_275051	13	Intergenic	YDL104C_163,YDL103C_95		
chr4_217877_217890	13	Intron	YDL136W		
chr9_210661_210735	74	Intergenic	YIL083C_6011,YIL079C_184		
chr3_178927_178939	12	Intergenic	YCR031C_715,YCR032W_572		
chr12_713976_713988	12	Coding	YLR288C		
chr15_110960_111032	72	Intergenic	YOL109W_323,YOL108C_397		
chr15_410007_410035	28	Intergenic	YOR042W_348,YOR043W_833		
chr4_197983_198007	24	Coding	YDL145C		
chr15_505841_505922	81	Coding	YOR096W		
chr15_864052_864067	15	Intergenic	YOR290C_3797,YOR291W_-2896		
chr14_443002_443116	114	Intergenic	YNL097C_647,YNL096C_278		
chr4_375553_375565	12	Intergenic	YDL044C_268,YDL043C_110		
chr13_43905_43956	51	Intergenic	YML114C_330,YML113W_88		
chr11_325243_325264	21	Intergenic	YKL062W_482,YKL061W_147		
chr1_68407_68421	14	Intergenic	YAL040C_885,YAL039C_296		
chr10_338688_338707	19	Coding	YJL052W		
chr4_44932_45031	99	Coding	YDL229W		
chr3_177174_177274	100	Intergenic	YCR030C_744,YCR031C_217		
chr16_439374_439415	41	Intergenic	YPL060W_3615,YPL059W_5158	YPLCTY4-1,	
chr15_898459_898489	30	Intergenic	YOR310C_106,YOR311C_559		
chr14_557819_557833	14	Intergenic	YNL038W_40,YNL037C_82		
chr8_411228_411318	90	Intergenic	YHR155W_438,YHR156C_66		
chr12_361725_361743	18	Coding	YLR106C		
chr2_326751_326825	74	Intergenic	YBR044C_732,YBR045C_1504		
chr7_483256_483286	30	Intergenic	YGL007C-A_226,YGL006W-A_2139	YGL007W,	
chr14_519094_519165	71	Intergenic	YNL055C_253,YNL054W_6916	YNLWTY1-2,YNLWDELTA3,	
chr10_697943_697956	13	Intergenic	YJR142W_79,YJR143C_64		
chr15_48522_48536	14	Coding	YOL147C		
chr5_249961_250014	53	Intergenic	YER048C_1805,YER048W-A_702	YERCSIGMA1,	
chr12_1052066_1052140	74	Intergenic	YLR454W_186,YLR455W_1484		
chr9_247110_247127	17	Intergenic	YIL061C_1554,YIL057C_771	YIL058W,	
chr5_380906_380929	23	Coding	YER110C		
chr7_648198_648213	15	Intergenic	YGR084C_55,YGR085C_170		
chr13_298305_298411	106	Intergenic	YMR013W-A_-85,YMR014W_455		
chr4_873085_873114	29	Intergenic	YDR210W_1792,YDR211W_11604	YDRWTY2-2,YDR210W-B,YDR210W-A,	
chr13_888744_888757	13	Intergenic	YMR307W_62,YMR308C_194		
chr2_701956_702002	46	Intergenic	YBR240C_159,YBR241C_541		
chr14_104802_104875	73	Intergenic	YNL284C_702,YNL283C_306		
chr4_50469_50482	13	Intergenic	YDL227C_2437,YDL226C_633		
chr4_516189_516236	47	Intergenic	YDR034C_4086,YDR034C-A_4273	YDRCTY2-1,YDR034C-D,	
chr4_515852_515868	16	Intergenic	YDR034C_3749,YDR034C-A_4641	YDRCTY2-1,YDR034C-D,	
chr3_227933_228034	101	Intergenic	YCR061W_483,YCR063W_275		
chr15_664988_664999	11	Intergenic	YOR176W_1406,YOR177C_785	YORWDELTA17,	
chr11_558651_559002	351	Intergenic	YKR061W_61,YKR062W_299		
chr13_420586_420660	74	Intergenic	YMR076C_558,YMR077C_822		
chr16_377160_377220	60	Intergenic	YPL091W_212,YPL090C_65		
chr12_318947_318974	27	Intergenic	YLR088W_995,YLR089C_-737		
chr12_980128_980143	15	Intergenic	YLR424W_4612,YLR425W_2745	YLRCTY2-2,	
chr16_795344_795369	25	Intron	YPR132W		
chr12_980868_980924	56	Intergenic	YLR424W_5352,YLR425W_1964	YLRCTY2-2,	
chr2_702972_702985	13	Intergenic	YBR240C_1175,YBR241C_-442		
chr12_732089_732190	101	Intergenic	YLR301W_530,YLR303W_351		
chr11_613601_613627	26	Intergenic	YKR092C_82,YKR093W_1736		
chr12_856708_856919	211	Intron	YLR367W		
chr15_136086_136182	96	Intergenic	YOL098C_249,YOL097W-A_36		
chr14_722083_722100	17	Intron	YNR053C		
chr7_314292_314314	22	Intergenic	YGL100W_8,YGL099W_317		
chr14_734772_734796	24	Coding	YNR058W		
chr12_746612_746647	35	Intergenic	YLR307W_87,YLR307C-A_200		
chr4_1492481_1493031	550	Intergenic	YDR527W_80,YDR528W_1542		
chr5_239077_239109	32	Coding	YER044C-A		
chr15_977835_977861	26	Coding	YOR344C		
chr12_465070_466870	1800	Intergenic	YLR154C-G_2398,YLR154C-H_1957	RDN37-2,	
chr11_407583_407622	39	Coding	YKL016C		
chr11_159182_159205	23	Coding	YKL156W		
chr7_609583_609596	13	Intergenic	YGR059W_481,YGR060W_968	SNR48,	
chr4_444128_444146	18	Intergenic	YDL004W_621,YDL003W_532		
chr13_164407_164441	34	Intergenic	YML056C_231,YML055W_348		
chr2_478514_478531	17	Coding	YBR118W		
chr13_453700_453714	14	Intergenic	YMR092C_222,YMR093W_299		
chr4_930198_930220	22	Coding	YDR233C		
chr3_58842_58862	20	Intergenic	YCL037C_164,YCL036W_163		
chr10_538248_538320	72	Intergenic	YJR054W_1005,YJR055W_145		
chr2_379103_379122	19	Intergenic	YBR069C_711,YBR070C_57		
chr7_814787_814799	12	Intergenic	YGR161C_5365,YGR162W_9261	YGRWTY2-2,YGR161W-B;Note=TyB Gag-Pol protein; proteolytically processed to make the Gag, RT, PR, and IN proteins that are required for retrotransposition,YGR161W-B,	
chr14_181885_181917	32	Coding	YNL248C		
chr8_212378_213153	775	Intergenic	YHR053C_-342,YHR054C_31	YHR052W-A,	
chr16_700838_700908	70	Coding	YPR080W		
chr15_1081555_1081580	25	Coding	YOR393W		
chr7_405470_405542	72	Intergenic	YGL051W_1078,YGL050W_234		
chr1_68463_68495	32	Intergenic	YAL040C_941,YAL039C_222		
chr9_319574_319587	13	Coding	YIL017C		
chr12_687858_687932	74	Intergenic	YLR272C_656,YLR273C_1150		
chr13_486232_486247	15	Intergenic	YMR108W_86,YMR109W_338		
chr11_514536_514561	25	Intergenic	YKR038C_1740,YKR039W_138		
chr14_472832_472852	20	Coding	YNL083W		
chr13_299671_299685	14	Coding	YMR014W		
chr7_156474_156487	13	Intergenic	YGL184C_458,YGL183C_59		
chr16_446966_446997	31	Coding	YPL058C		
chr7_675532_675559	27	Intergenic	YGR094W_31,YGR095C_112		
chr12_794696_794794	98	Intergenic	YLR332W_2890,YLR333C_778		
chr7_545369_545566	197	Intergenic	YGR029W_1163,YGR030C_115		
chr10_396421_396492	71	Intergenic	YJL024C_133,YJL023C_558		
chr8_104840_104857	17	Coding	YHL001W		
chr10_355069_355141	72	Intergenic	YJL046W_1758,YJL045W_578		
chr14_566420_566435	15	Intergenic	YNL036W_5945,YNL035C_2082	YNLCTY2-1,	
chr2_227036_227118	82	Intergenic	YBL005W_6674,YBL004W_479		
chr4_924090_924102	12	Intergenic	YDR228C_293,YDR229W_673		
chr12_811206_811221	15	Coding	YLR342W		
chr13_379301_379407	106	Intergenic	YMR049C_8785,YMR052W_177		
chr16_352470_352499	29	Intergenic	YPL106C_200,YPL105C_358		
chr5_312018_312091	73	Intergenic	YER075C_823,YER076C_494		
chr15_206038_206059	21	Intergenic	YOL065C_154,YOL064C_42		
chr7_712229_712250	21	Intergenic	YGR109C_5727,YGR110W_1459	YGRWTY3-1,YGR109W-B,YGRWSIGMA5,	
chr8_200147_200176	29	Coding	YHR047C		
chr11_255063_255076	13	Intergenic	YKL101W_1945,YKL100C_-1738		
chr16_460668_460686	18	Intergenic	YPL051W_114,YPL050C_87		
chr15_594353_594425	72	Intergenic	YOR142W_307,YOR143C_6957		
chr4_1239898_1239937	39	Intergenic	YDR382W_86,YDR383C_10		
chr5_435747_435820	73	Intergenic	YER133W_1793,YER134C_1442		
chr13_716411_716427	16	Intergenic	YMR222C_103,YMR223W_286		
chr15_1010938_1010983	45	Intergenic	YOR358W_55,YOR359W_199		
chr15_651747_651771	24	Intergenic	YOR168W_15,YOR171C_238	YOR169C,	
chr12_745183_745201	18	Intergenic	YLR306W_332,YLR307W_418		
chr7_319781_319852	71	Intergenic	YGL098W_1701,YGL097W_1930		
chr13_556454_556475	21	Coding	YMR145C		
chr3_212006_212028	22	Coding	YCR048W	YCR049C,	
chr14_642433_642459	26	Intergenic	YNR008W_55,YNR009W_227		
chr16_302337_302359	22	Coding	YPL132W		
chr4_167501_167517	16	Intergenic	YDL164C_246,YDL161W_197	YDL162C,	
chr7_878711_878817	106	Intergenic	YGR189C_517,YGR191W_1604		
chr3_127709_127783	74	Intergenic	YCR007C_985,YCR008W_680		
chr14_146197_146215	18	Coding	YNL264C		
chr4_1471487_1471498	11	Intergenic	YDR513W_51,YDR514C_37		
chr15_288662_288685	23	Intergenic	YOL019W-A_90,YOL019W_212		
chr12_248523_248545	22	Intergenic	YLR053C_96,YLR054C_172		
chr4_364819_364832	13	Intergenic	YDL051W_41,YDL049C_234		
chr13_14793_14809	16	Intergenic	YML129C_39,YML128C_326		
chr5_341416_341443	27	Coding	YER091C		
chr14_217177_217216	39	Intergenic	YNL231C_136,YNL230C_305		
chr15_780106_780596	490	Intergenic	YOR234C_701,YOR236W_309	YOR235W,YOR235W,	
chr5_250146_250165	19	Intergenic	YER048C_1990,YER048W-A_551	YERCSIGMA1,	
chr11_392093_392115	22	Intergenic	YKL025C_176,YKL024C_48		
chr4_645145_645217	72	Intergenic	YDR098C_117,YDR099W_8382		
chr11_46735_46807	72	Intergenic	YKL209C_439,YKL208W_350		
chr2_256801_256821	20	Intergenic	YBR010W_103,YBR011C_247		
chr12_569651_569671	20	Coding	YLR214W		
chr15_689246_689264	18	Intergenic	YOR188W_66,YOR189W_359		
chr16_415264_415285	21	Coding	YPL075W		
chr2_92624_92645	21	Coding	YBL068W		
chr15_45719_45732	13	Intergenic	YOL149W_88,YOL148C_25		
chr14_214827_214847	20	Intergenic	YNL233W_228,YNL232W_74		
chr15_405517_405548	31	Intergenic	YOR038C_130,YOR039W_218		
chr8_348091_348118	27	Coding	YHR119W		
chr10_374201_374273	72	Intergenic	YJL039C_706,YJL038C_537	ARS1012,	
chr15_286029_286043	14	Intergenic	YOL021C_603,YOL020W_128		
